"" ,"License ->Content in this spreadsheet is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license. Details of the license can be seen here: https://creativecommons.org/licenses/by-nc-sa/4.0","Citation->Recommended citation: India Sand Watch, Veditum India Foundation. Accessed via http://sandwatch.envmonitoring.in on 4/12/2026",
"Title","Would you like to submit this report anonymously?","Date of Observation","Location","Are machines used in the process?","Can you specify types of machines/ equipment","Notes from the location","Pictures","State","District","River","Published Date"
"Ganga River - Vaishali, Bihar - February 14, 2025","No","14-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.564159,85.2813239999999
","Yes","6 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Vaishali","Ganga","29-10-2025"
"Ganga River - Vaishali, Bihar - February 14, 2025","No","14-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.559833,85.281874
","Yes","2 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Vaishali","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 14, 2025","No","14-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.549678,85.2816289999999
","Yes","8 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 14, 2025","No","14-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.526976,85.292753
","Yes","1 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 14, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.519285,85.2994549999999
","Yes","1 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 14, 2025","No","14-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.5101629999999,85.3183209999999
","Yes","1 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 14, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.50974,85.33301
","Yes","1 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 14, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.515312,85.410059
","Yes","1 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 15, 2025","No","15-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.488208,85.4511949999999
","Yes","11 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 15, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.4819059999999,85.4962569999999
","Yes","2 JCB sand extraction","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Samastipur, Bihar - February 15, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.4993939999999,85.5820719999999
","Yes","1 sand-mining boats with extractors","NA","N/A","Bihar","Samastipur","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 15, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.491427,85.7104199999999
","Yes","1 sand-mining boat with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 15, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.5121949999999,85.729308
","Yes","1 sand-mining boat with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 15, 2025","No","15-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.5309719999999,85.790941
","Yes","1 sand-mining boat with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 15, 2025","No","15-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.3746739999999,85.995631
","Yes","4 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Munger, Bihar - February 16, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.3696699999999,86.463277
","Yes","1 sand-mining boats with extractors","NA","N/A","Bihar","Munger","Ganga","29-10-2025"
"Ganga River - Bhagalpur, Bihar - February 18, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.3104599999999,86.992168
","Yes","1 cutter suction dredger (CSD)","1 dredger","N/A","Bihar","Bhagalpur","Ganga","29-10-2025"
"Ganga River - Bhagalpur, Bihar - February 18, 2025","No","18-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.30142,87.02491
","Yes","2 sand-mining boats with extractors, bridge construction","bridge construction


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work.


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Bhagalpur","Ganga","29-10-2025"
"Ganga River - Bhagalpur, Bihar - February 18, 2025","No","18-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.26076,87.04979
","Yes","1 cutter suction dredger (CSD)","1 dredger


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Bhagalpur","Ganga","29-10-2025"
"Ganga River - Bhagalpur, Bihar - February 18, 2025","No","18-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.261258,87.2239799999999
","Yes","4 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Bhagalpur","Ganga","29-10-2025"
"Ganga River - Bhagalpur, Bihar - February 19, 2025","No","19-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.3374339999999,87.2566779999999
","Yes","1 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Bhagalpur","Ganga","29-10-2025"
"Ganga River - Bhagalpur, Bihar - February 19, 2025","No","19-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.372184,87.337609
","Yes","3 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Bhagalpur","Ganga","29-10-2025"
"Ganga River - Katihar, Bihar - February 19, 2025","No","19-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.410408,87.372579
","Yes","1 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Katihar","Ganga","29-10-2025"
"Ganga River - Katihar, Bihar - February 19, 2025","No","19-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.394092,87.558856
","Yes","2 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Katihar","Ganga","29-10-2025"
"Ganga River - Malda, West Bengal - February 21, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.035401,87.8978919999999
","Yes","3 sand-mining boats with extractors","NA","N/A","West Bengal","Malda","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 14, 2025","No","14-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.509025,85.4261929999999
","Yes","6 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 14, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.5029949999999,85.438573
","Yes","4 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 14, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.498013,85.442622
","Yes","4 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 15, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.484507,85.4722079999999
","Yes","9 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Samastipur, Bihar - February 15, 2025","No","15-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.508312,85.5460419999999
","Yes","4 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Samastipur","Ganga","29-10-2025"
"Ganga River - Samastipur, Bihar - February 15, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.5082109999999,85.5469709999999
","Yes","2 sand-mining boats with extractors","NA","N/A","Bihar","Samastipur","Ganga","29-10-2025"
"Ganga River - Samastipur, Bihar - February 15, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.503164,85.585023
","Yes","2 sand-mining boats with extractors","NA","N/A","Bihar","Samastipur","Ganga","29-10-2025"
"Ganga River - Samastipur, Bihar - February 15, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.507086,85.595448
","Yes","1 sand-mining boats with extractors","NA","N/A","Bihar","Samastipur","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 15, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.4857259999999,85.6284729999999
","Yes","1 sand-mining boats with extractors, 1 cutter suction dredger (CSD)","1 dredger","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 15, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.4773099999999,85.6590219999999
","Yes","1 sand-mining boat with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Begusarai, Bihar - February 15, 2025","No","15-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.4951809999999,85.9035769999999
","Yes","3 cutter suction dredgers (CSD)","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on  
sandwatch@veditum.org
 ","N/A","Bihar","Begusarai","Ganga","29-10-2025"
"Ganga River - Begusarai, Bihar - February 15, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.483481,85.926551
","Yes","1 sand-mining boats with extractors, 1 tractor","tractor 1","N/A","Bihar","Begusarai","Ganga","29-10-2025"
"Ganga River - Begusarai, Bihar - February 15, 2025","No","15-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.4260979999999,85.930436
","Yes","1 cutter suction dredger (CSD)","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on  
sandwatch@veditum.org
  ","N/A","Bihar","Begusarai","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 15, 2025","No","15-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.3875819999999,85.97906
","Yes","2 sand-mining boats with extractors, 2 cutter suction dredgers (CSD)","2 dredgers


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 15, 2025","No","15-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.373483,85.9972649999999
","Yes","2 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 16, 2025","No","16-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.370194,86.007637
","Yes","2 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Lakhisarai, Bihar - February 16, 2025","No","16-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.304109,86.104121
","Yes","2 sand-mining boats with extractors, 2 cutter suction dredgers (CSD)","2 dredgers


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on  
sandwatch@veditum.org
 ","N/A","Bihar","Lakhisarai","Ganga","29-10-2025"
"Ganga River - Begusarai, Bihar - February 16, 2025","No","16-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.3422799999999,86.1768
","Yes","1 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Begusarai","Ganga","29-10-2025"
"Ganga River - Munger, Bihar - February 17, 2025","No","17-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.251505,86.724725
","Yes","2 JCB sand extraction,bridge construction","bridge construction


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Munger","Ganga","29-10-2025"
"Ganga River - Bhagalpur, Bihar - February 18, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.259405,86.7426679999999
","Yes","1 sand-mining boat with extractors, pile driving for bridge construction","pile driving for bridge construction","N/A","Bihar","Bhagalpur","Ganga","29-10-2025"
"Ganga River - Bhagalpur, Bihar - February 18, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.334754,86.8459249999999
","Yes","1 sand-mining boat with extractors","NA","N/A","Bihar","Bhagalpur","Ganga","29-10-2025"
"Ganga River - Bhagalpur, Bihar - February 18, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.33558,86.855788
","Yes","1 cutter suction dredger (CSD)","1 dredger","N/A","Bihar","Bhagalpur","Ganga","29-10-2025"
"Ganga River - Bhagalpur, Bihar - February 18, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.2994009999999,87.027332
","Yes","1 sand-mining boats with extractors","NA","N/A","Bihar","Bhagalpur","Ganga","29-10-2025"
"Ganga River - Bhagalpur, Bihar - February 18, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.282111,87.142093
","Yes","1 cutter suction dredger (CSD)","1 dredger","N/A","Bihar","Bhagalpur","Ganga","29-10-2025"
"Ganga River - Bhagalpur, Bihar - February 18, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.2928899999999,87.190826
","Yes","2 sand-mining boats with extractors","NA","N/A","Bihar","Bhagalpur","Ganga","29-10-2025"
"Ganga River - Bhagalpur, Bihar - February 19, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.323796,87.2594509999999
","Yes","10 sand-mining boats with extractors","NA","N/A","Bihar","Bhagalpur","Ganga","29-10-2025"
"Ganga River - Sahibganj, Jharkhand - February 20, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.309277,87.6246059999999
","Yes","1 cutter suction dredger (CSD)","1 dredger","N/A","Jharkhand","Sahebganj","Ganga","29-10-2025"
"Ganga River - Sahibganj, Jharkhand - February 20, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.300781,87.6293239999999
","Yes","1 sand-mining boats with extractors","NA","N/A","Jharkhand","Sahebganj","Ganga","29-10-2025"
"Ganga River - Katihar, Bihar - February 20, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.264873,87.793767
","Yes","3 sand-mining boats with extractors and manual scooping","manual scooping","N/A","Bihar","Katihar","Ganga","29-10-2025"
"Tamas River - Rewa, Madhya Pradesh - 25 Oct 2025","No","25-10-2025 18:30:00","Serial Number,Latitude,Longitude
1,24.956509,81.48905
","No","N/A","Tamus River In Jawa Rewa ","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20251025_wa0010_4ecaec7b-6d1f-4d64-bede-72dc2417730d.jpeg?generation=1762604927277621&alt=media","Madhya Pradesh","Rewa","Tamas (Tamsa)","13-11-2025"
"Ken River - Banda, Uttar Pradesh, 15th November 2025","No","15-11-2025 18:30:00","Serial Number,Latitude,Longitude
,25.746567,80.453335
","Yes","Poclain machine","Poclain machine mining for murram in the middle of Ken river (active river channel).


This case report has been generated based on sightings of sand mining from the India Sand Watch and Veditum network. This report also has an image taken by Journalist Ashish Dixit which has date, time and location stamped images as well.


Have observations of sand mining in Indian rivers? Email at 
sandwatch@veditum.org","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2025_11_22_at_9_472c8565-7f37-4f34-8ee7-4b8263bbae09.jpeg?generation=1763980261897579&alt=media","Uttar Pradesh","Banda","Ken","24-11-2025"
"Tapi river - Surat, Gujarat - 13th December 2025","Yes","13-12-2025 18:30:00","Serial Number,Latitude,Longitude
,21.273833,73.504573
","Yes","JCB and boats","Right next to KKB Rio Colina resort, Tapi River, Surat","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_2780_4b2a057c_3e6a_456d_ba48_a6ee07fc92ba_af0b55a5-14de-42ce-a64b-ebc224080a70.jpeg?generation=1765795147180786&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_2779_d9bafb11_ddb8_48eb_a51c_64ed3fd19041_6e2a3deb-52eb-4671-9689-db0ef5729303.jpeg?generation=1765795148250659&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_2778_24b65acd_4b99_454d_a4b6_59744883a7ff_92cfb2fe-4087-4565-8fb9-b9a5ddf010c5.jpeg?generation=1765795151171326&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_2792_e1c41255_b53e_4eb4_bcbc_b66381c0b264_f8947efa-3772-4bb6-a731-91ff238d3e20.jpeg?generation=1765795153229660&alt=media","Gujarat","Surat","Tapi","15-12-2025"
"Mahananda river - Kishanganj, Bihar - 16th November 2021","No","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.36474904,88.12941603
","Yes","2 Poclain machines, 5 tractors","Bundhs were made to block river flow, river seemed stagnant at some stretches","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240313_131829_855ecb7e_9001_4d03_9527_cee41a7c4d0b_3ccb1bb2-5323-44ed-b90a-04fbb892bc78.jpeg?generation=1769084819062650&alt=media","Bihar","Kishanganj","Mahananda","22-01-2026"
"Ken river - Banda, Uttar Pradesh - 21st Feb 2026","No","21-02-2026 18:30:00","Serial Number,Latitude,Longitude
1,25.708995,80.318276
","Yes","पोकलैंड ","अर्थ मूविंग प्रतिबंधित मशीनों से अवैध खनन ","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20260221_wa0006_f51ff46b-aa2d-4bc2-920e-609c7ae68fb1.jpeg?generation=1771675470211693&alt=media","Uttar Pradesh","Banda","Ken","21-02-2026"
"Chambal River - Morena, Madhya Pradesh - 25/02/2026","No","25-02-2026 18:30:00","Serial Number,Latitude,Longitude
,26.6548790,77.9027566
","Yes","9 Tractors, 1 backhoe","Active mining right near the bridge pillar. Backhoe digging sand, also men with shovels. Loading sand into tractors which are taking the sand up some kaccha rastas. Deep cuts in the bank, lines with piles of sand. Loud tractor sounds, horns and music. Two years ago, there were only signs of mining, but had seen many gharial and muggers on the same bank. Entire area to the side of the mine (adjoining a second mining site, also shows a lot of scraping and scarring). Three muggers at the edge.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000183717_d19fff39-b088-4a02-9ef4-e5d8fffbb41e.jpeg?generation=1772017069327447&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000183716_cee35a7d-54eb-43a8-8d72-cf6e9fd96184.jpeg?generation=1772017070651841&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000183715_4669abe8-9a78-4f8e-b8e4-e97d813da07f.jpeg?generation=1772017071942885&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000183704_7cd2cb26-93d8-42a2-a85c-2e569206acb6.jpeg?generation=1772017073205172&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000183720_56cc30fb-298b-4aa2-87e9-e5032fcec4a9.jpeg?generation=1772017074120619&alt=media","Madhya Pradesh","Morena","Chambal","25-02-2026"
"River Chambal - Morena, Madhya Pradesh - 25.02.2026","No","25-02-2026 18:30:00","Serial Number,Latitude,Longitude
,26.657610,77.907013
","Yes","Poclains, tractors, trucks","Just under the highway bridge, very close to the bridge. Lots of machines, heavy scale of mining.

Atleast 8-10 tractors collecting sand at one time and many others continuously taking turns.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20260225_162231_16a44d61-a134-467e-814d-5903841bbf47.jpeg?generation=1772016770261870&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20260225_161314_8d574bae-73a6-4b52-95a4-b2496656cb62.jpeg?generation=1772016492702504&alt=media","Madhya Pradesh","Morena","Chambal","25-02-2026"
"River Chambal - Morena, Madhya Pradesh - 25.02.2026","No","25-02-2026 18:30:00","Serial Number,Latitude,Longitude
,26.6590311,77.9096710
","Yes","Poclains, tractors, dumpers","Atleast 100 or more machines mining and transporting sand. Edges of the sand bank have vanished. Mining is close to the highway bridge. Lots of sand piled farther from the bank (where officials ""mixed"" mud to ruin the mining. But this is unsuccessful effort, since the mining is going on at full scale.)","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20260225_163121_31b06ab9-c119-47b8-801e-6d6f953a0241.jpeg?generation=1772017416189580&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20260225_162622_ab601835-3824-45b8-a900-3c8e258a3ac7.jpeg?generation=1772017112963141&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20260225_161318_a8f01850-489e-48e8-a6db-e2971395fafb.jpeg?generation=1772017044117560&alt=media","Madhya Pradesh","Morena","Chambal","25-02-2026"
"Chambal River - Morena, Madhya Pradesh - 25/02/2026","No","25-02-2026 18:30:00","Serial Number,Latitude,Longitude
,26.6537623,77.9001481
","Yes","Tractors, poclains","Active mining close to the bridge pillar. Poclains digging up sand from pits filled with water. Large heaps of sand, sand being piled into tractors and transported up via kaccha rasta. Loud music, machinery sounds. Some waterbirds and two crocodiles basking at the edge. Two years ago this site was an intact bank with some cauliflower mining scars, with multiple muggers, turtles, gharial, and waterbirds - including skimmers. Little further down had spotted a fox ","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000183739_f5f28bc4-5972-4f67-ad91-6330b6b19ab6.jpeg?generation=1772018192119970&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000183740_66a422bd-e70f-4fac-9702-766276f84828.jpeg?generation=1772018193438811&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000183738_a59960ca-777f-47f1-ab4c-97bcb3357960.jpeg?generation=1772018194311895&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000183735_16d5fdb1-be2b-4335-b4af-d9d368578aa1.jpeg?generation=1772018195111115&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000183734_1d74b84a-7854-448d-971d-b5d169b2de2b.jpeg?generation=1772018195914427&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000183733_338b7d4c-ea6c-4ea0-9afc-eab61898e952.jpeg?generation=1772018196711210&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000183732_e6c8e843-ee20-4fdd-a37f-e0dc23504008.jpeg?generation=1772018197505700&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000183731_6cd97c80-d2d0-41b6-9d76-3325f36fcdb3.jpeg?generation=1772018198360681&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000183730_0aee4198-b1c7-4b9d-b640-cc1a08dc7305.jpeg?generation=1772018199149408&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000183720_d5b40284-4bb3-4d44-b931-32eb77a98d5b.jpeg?generation=1772018199944556&alt=media","Madhya Pradesh","Morena","Chambal","25-02-2026"
"River Karo - Khunti, Jharkhand - 22/08/2024","No","22-08-2024 18:30:00","Serial Number,Latitude,Longitude
,23.07275,85.018972
","No","N/A","bakaspure village,karra block ,karo bank

This location was within a forest area. This is not a demarcated location for sand mining. This means it is illegal mining. There was sand deposits also in this location.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240822_180555_9a939070-8655-4219-8031-f548358ef25b.jpeg?generation=1772271795406612&alt=media","Jharkhand","Khunti","Karo","01-03-2026"
